#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
123;B0226+70;J0231+7026;02:31:13.9;+70:26:33.8;1.466820;3.11e-15;46.68;*;-43.81;*;1.755;1.755;7.39e+00;9.24e-01;7.47e+06;2.16e+12;3.89e+31;1.26e+31;
124;J0241+16;J0241+16;02:41:46;+16:04;1.545400;*;16.00;*;*;*;0.936;0.936;*;*;*;*;*;*;
125;J0242+62;J0242+62;02:42:35;+62:56:50;0.592000;*;3.92;*;*;*;0.217;0.217;*;*;*;*;*;*;
126;J0243+6027;J0243+6027;02:43;+60:27;1.473000;*;141.00;*;*;*;2.717;2.717;*;*;*;*;*;*;
127;J0244+14;J0244+14;02:44:51;+14:27;2.128100;*;31.00;*;*;*;2.796;2.796;*;*;*;*;*;*;
128;J0248+4230;J0248+4230;02:48:31.0;+42:30:20.4;0.002601;1.69e-20;48.26;*;*;*;1.853;1.853;*;*;2.44e+09;2.12e+08;3.79e+34;1.10e+34;
129;J0248+6021;J0248+6021;02:48:18.6;+60:21:34.7;0.217094;5.51e-14;370.00;*;-158.00;*;2.000;25.000;*;5.48e+01;6.24e+04;3.50e+12;2.13e+35;5.31e+34;
130;J0250+5854;J0250+5854;02:50:17.7;+58:54:01.3;23.535378;2.72e-14;45.28;*;*;*;1.558;1.558;*;9.71e-03;1.37e+07;2.56e+13;8.22e+28;3.39e+28;
131;J0251+2606;J0251+2606;02:51:02.5;+26:06:09.9;0.002542;7.57e-21;20.22;*;*;*;1.170;1.170;*;*;5.32e+09;1.40e+08;1.82e+34;1.33e+34;
132;B0254-53;J0255-5304;02:55:56.2;-53:04:21.2;0.447708;3.13e-17;15.90;*;32.00;*;1.514;1.514;3.90e+01;1.15e+01;2.27e+08;1.20e+11;1.38e+31;6.01e+30;
