#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
133;J0301+35;J0301+35;03:01;+35;0.146800;*;57.43;*;*;*;3.100;3.100;*;*;*;*;*;*;
134;J0302+2252;J0302+2252;03:02:31.9;+22:52:12.1;1.207165;8.25e-17;18.99;*;*;*;1.014;1.014;7.20e+01;*;2.32e+08;3.19e+11;1.85e+30;1.80e+30;
135;B0301+19;J0304+1932;03:04:33.1;+19:32:51.4;1.387584;1.30e-15;15.66;*;-8.43;*;0.739;0.739;1.47e+01;8.25e+00;1.70e+07;1.36e+12;1.91e+31;3.50e+31;
136;J0305+11;J0305+11;03:05:06;+11:23;0.862100;*;27.97;*;*;*;1.838;1.838;*;*;*;*;*;*;
137;J0307+7443;J0307+7443;03:07:55;+74:43:12;0.003160;*;6.35;*;*;*;0.386;0.386;4.47e-02;*;*;*;*;*;
138;J0312-0921;J0312-0921;03:12:06.2;-9:21:56;0.003704;1.97e-20;20.50;*;*;*;0.817;0.817;*;*;2.98e+09;2.73e+08;1.53e+34;2.30e+34;
139;J0317+13;J0317+13;03:17:54;+13:29;1.974300;*;12.90;*;*;*;0.366;0.366;*;*;*;*;*;*;
140;J0318+0253;J0318+0253;03:18:15.5;+02:53:01.4;0.005190;1.76e-20;25.98;*;*;*;1.328;1.328;*;1.94e-02;4.67e+09;3.06e+08;4.97e+33;2.82e+33;
141;B0320+39;J0323+3944;03:23:26.6;+39:44:52.4;3.032072;6.36e-16;26.19;*;60.00;*;0.952;1.197;3.08e+01;8.16e-01;7.56e+07;1.40e+12;9.00e+29;9.92e+29;
142;J0324+5239;J0324+5239;03:24:55.4;+52:39:31.3;0.336620;3.81e-16;115.46;*;-126.00;*;2.290;2.290;*;9.96e-01;1.40e+07;3.62e+11;3.94e+32;7.52e+31;
143;J0325+6744;J0325+6744;03:25:05.1;+67:44:59.3;1.364679;1.55e-15;65.28;*;*;*;1.929;1.929;*;*;1.39e+07;1.47e+12;2.41e+31;6.48e+30;
144;J0329+1654;J0329+1654;03:29:08.5;+16:54:02;0.893320;2.15e-16;40.82;*;*;*;2.557;2.557;3.92e+00;*;6.58e+07;4.44e+11;1.19e+31;1.82e+30;
145;B0329+54;J0332+5434;03:32:59.4;+54:34:43.3;0.714520;2.05e-15;26.76;*;-64.33;*;1.695;1.183;4.31e+03;5.83e+02;5.53e+06;1.22e+12;2.22e+32;7.72e+31;
146;B0331+45;J0335+4555;03:35:16.6;+45:55:53.4;0.269201;7.35e-18;47.15;*;-15.20;*;2.439;1.535;3.57e+01;4.76e+00;5.80e+08;4.50e+10;1.49e+31;2.50e+30;
147;J0335+6623;J0335+6623;03:35:57.0;+66:23:23.6;1.761934;4.81e-15;66.73;*;*;*;1.907;1.907;3.82e+01;*;5.80e+06;2.95e+12;3.47e+31;9.55e+30;
148;J0337+1715;J0337+1715;03:37:43.8;+17:15:14.8;0.002733;1.77e-20;21.32;*;*;*;1.300;0.816;*;*;2.45e+09;2.22e+08;3.42e+34;2.02e+34;
149;J0337+79;J0337+79;03:37:22;+79:01:44;2.056210;*;16.67;*;*;*;1.053;1.053;*;*;*;*;*;*;
150;J0340+4130;J0340+4130;03:40:23.2;+41:30:45.2;0.003299;7.05e-21;49.59;*;55.00;*;1.603;1.603;5.14e+00;7.97e-01;7.42e+09;1.54e+08;7.75e+33;3.01e+33;
151;J0341+5711;J0341+5711;03:41;+57:11;1.888000;*;101.00;*;*;*;2.037;2.037;1.51e+03;*;*;*;*;*;
152;J0343+06;J0343+06;03:43;+06;1.007640;*;46.00;*;*;*;3.774;3.774;*;*;*;*;*;*;
153;J0343-3000;J0343-3000;03:43:27.9;-30:00:27.5;2.597027;5.70e-17;20.20;*;45.00;*;1.594;1.594;*;3.30e+00;7.22e+08;3.89e+11;1.28e+29;5.06e+28;
154;B0339+53;J0343+5312;03:43:12.9;+53:12:53.4;1.934478;1.34e-14;67.30;*;-69.70;*;1.705;1.705;1.08e+01;8.72e-01;2.28e+06;5.16e+12;7.32e+31;2.52e+31;
155;J0344-0901;J0344-0901;03:44:37.4;-09:01:02.6;1.226006;3.47e-15;30.90;*;7.00;*;1.507;1.507;*;3.52e-01;5.60e+06;2.09e+12;7.44e+31;3.27e+31;
156;J0348+0432;J0348+0432;03:48:43.6;+04:32:11.4;0.039123;2.41e-19;40.46;-0.001;48.27;*;2.100;2.256;*;2.95e+00;2.57e+09;3.11e+09;1.59e+32;3.60e+31;
157;J0349+2340;J0349+2340;03:49:57.3;+23:40:53;2.420771;1.10e-15;62.96;*;*;*;3.746;3.746;*;*;3.49e+07;1.65e+12;3.06e+30;2.18e+29;
158;J0355+28;J0355+28;03:55;+28;0.094300;*;48.68;*;*;*;1.789;1.789;*;*;*;*;*;*;
159;J0357-05;J0357-05;03:57:56;-05:09:44;*;*;56.40;*;*;*;25.000;25.000;*;*;*;*;*;*;
160;J0357+3205;J0357+3205;03:57:52.5;+32:05:25;0.444104;1.30e-14;*;*;*;*;0.835;*;*;*;5.40e+05;2.43e+12;5.88e+33;8.43e+33;
161;B0353+52;J0357+5236;03:57:44.8;+52:36:57.4;0.197030;4.77e-16;103.71;*;261.00;*;3.571;2.025;1.53e+02;2.42e+01;6.55e+06;3.10e+11;2.46e+33;1.93e+32;
162;J0358+4155;J0358+4155;03:58:03.1;+41:55:19.0;0.226484;1.46e-16;46.33;*;*;*;1.481;1.481;*;*;2.46e+07;1.84e+11;4.96e+32;2.26e+32;
163;B0355+54;J0358+5413;03:58:53.7;+54:13:13.7;0.156384;4.39e-15;57.14;*;81.50;*;1.000;1.594;4.60e+01;2.30e+01;5.64e+05;8.39e+11;4.54e+34;4.54e+34;
164;J0358+6627;J0358+6627;03:58:37.9;+66:27:46.5;0.091506;1.09e-17;62.33;*;*;*;1.884;1.884;*;*;1.33e+08;3.19e+10;5.61e+32;1.58e+32;
165;J0359+5414;J0359+5414;03:59:26.0;+54:14:55.7;0.079427;1.67e-14;*;*;*;*;*;*;*;*;7.52e+04;1.17e+12;1.32e+36;*;
166;B0403-76;J0401-7608;04:01:51.7;-76:08:12.9;0.545254;1.54e-15;21.70;*;19.00;*;1.014;1.014;1.95e+01;3.91e+00;5.60e+06;9.28e+11;3.76e+32;3.66e+32;
167;J0402+4825;J0402+4825;04:02:40.6;+48:25:57.5;0.512194;2.75e-16;85.70;*;-111.00;*;1.849;1.849;*;*;2.95e+07;3.80e+11;8.09e+31;2.37e+31;
168;J0405+3347;J0405+3347;04:05;+33;0.016500;*;53.30;*;*;*;1.668;1.668;*;*;*;*;*;*;
169;J0406+30;J0406+30;04:06;+30;0.002600;*;49.37;*;*;*;1.641;1.641;*;*;*;*;*;*;
170;B0402+61;J0406+6138;04:06:30.0;+61:38:41.4;0.594576;5.57e-15;65.41;*;8.18;*;4.545;1.785;3.10e+02;5.79e+01;1.69e+06;1.84e+12;1.05e+33;5.07e+31;
171;J0407+1607;J0407+1607;04:07:54.9;+16:07:16.4;0.025702;7.90e-20;35.59;*;2.50;52774.6900;1.337;1.337;1.82e+01;6.26e-01;5.15e+09;1.44e+09;1.84e+32;1.03e+32;
172;J0408+551;J0408+551;04:08;+55;1.837000;*;55.00;*;*;*;1.573;1.573;*;*;*;*;*;*;
173;J0408+552;J0408+552;04:08;+55;0.754000;*;63.80;*;*;*;1.661;1.661;*;*;*;*;*;*;
174;J0410-31;J0410-31;04:10:39;-31:07:29;1.878500;*;9.20;*;*;*;0.415;0.415;*;*;*;*;*;*;
175;J0413+58;J0413+58;04:13;+58;0.687000;*;57.00;*;*;*;1.630;1.630;*;*;*;*;*;*;
176;J0414+31;J0414+31;04:14;+31;1.081000;*;64.10;*;*;*;1.842;1.842;*;*;*;*;*;*;
177;B0410+69;J0415+6954;04:15:55.6;+69:54:09.8;0.390715;7.66e-17;27.45;*;-21.42;*;1.368;1.368;1.20e+01;9.36e-01;8.08e+07;1.75e+11;5.07e+31;2.71e+31;
178;J0417+35;J0417+35;04:17:43;+35:45;0.654400;*;48.53;*;42.00;*;1.480;1.480;*;*;*;*;*;*;
179;J0417+61;J0417+61;04:17;+61:08;0.440283;*;70.14;*;*;*;1.837;1.837;5.06e+00;*;*;*;*;*;
180;J0418-4154;J0418-4154;04:18:03.7;-41:54:14.4;0.757119;1.32e-15;24.32;*;*;*;2.519;2.519;*;*;9.09e+06;1.01e+12;1.20e+32;1.89e+31;
181;J0418+5732;J0418+5732;04:18:33.8;+57:32:22.9;9.078388;4.10e-15;*;*;*;*;*;*;*;*;3.51e+07;6.17e+12;2.16e+29;*;
182;J0418+6635;J0418+6635;04:18:48.0;+66:35:25;0.002910;*;77.60;*;*;*;2.206;2.206;*;*;*;*;*;*;
183;J0419+44;J0419+44;04:19;+44;1.241000;*;71.00;*;*;*;1.687;1.687;*;*;*;*;*;*;
184;J0420-5022;J0420-5022;04:20:01.9;-50:22:48.1;3.453004;2.76e-14;*;*;*;*;*;*;*;*;1.98e+06;9.88e+12;2.65e+31;*;
185;J0421-0345;J0421-0345;04:21:33.5;-03:45:06.6;2.161308;1.16e-15;44.61;*;30.00;*;2.196;2.196;2.89e+01;2.41e+00;2.94e+07;1.60e+12;4.55e+30;9.43e+29;
186;J0421+3255;J0421+3255;04:21:33.2;+32:55:50;0.900105;6.00e-17;77.02;*;*;*;1.939;1.939;*;*;2.38e+08;2.35e+11;3.25e+30;8.64e+29;
187;J0426+4933;J0426+4933;04:26:06.8;+49:33:38.4;0.922475;3.93e-14;84.30;*;-169.00;*;1.795;1.795;*;6.12e-01;3.71e+05;6.10e+12;1.98e+33;6.14e+32;
188;J0435+2749;J0435+2749;04:35:51.8;+27:49:01.7;0.326279;8.17e-18;53.19;*;0.96;*;1.521;1.521;4.63e+00;5.55e-01;6.33e+08;5.22e+10;9.28e+30;4.01e+30;
189;J0437-4715;J0437-4715;04:37:15.8;-47:15:09.1;0.005757;5.73e-20;2.64;*;0.15;54501.4671;0.157;0.156;1.35e+01;3.69e+00;1.59e+09;5.81e+08;1.19e+34;4.82e+35;
190;J0447-04;J0447-04;04:47;-04:35;2.188190;*;29.83;*;*;*;0.675;0.675;*;*;*;*;*;*;
191;J0448-2749;J0448-2749;04:48:41.5;-27:49:46.7;0.450448;1.48e-16;26.22;*;-0.70;*;1.809;1.809;6.54e+00;6.54e+00;4.81e+07;2.62e+11;6.41e+31;1.96e+31;
192;J0449-7031;J0449-7031;04:49:05.6;-70:31:31.7;0.479164;3.37e-15;65.83;*;41.00;*;49.700;50.463;*;1.38e+02;2.25e+06;1.29e+12;1.21e+33;4.90e+29;
193;B0447-12;J0450-1248;04:50:08.7;-12:48:07.1;0.438014;1.03e-16;37.04;*;13.00;*;1.774;1.774;3.46e+01;3.78e+00;6.76e+07;2.15e+11;4.82e+31;1.53e+31;
194;J0451-67;J0451-67;04:51:50;-67:18;0.245454;0.00e+00;45.00;*;*;*;49.700;4.184;*;1.24e+02;*;*;*;*;
195;B0450-18;J0452-1759;04:52:34.1;-17:59:23.3;0.548939;5.75e-15;39.90;*;11.10;*;0.400;2.711;1.31e+01;2.69e+00;1.51e+06;1.80e+12;1.37e+33;8.58e+33;
196;J0453+1559;J0453+1559;04:53:45.4;+15:59:21.3;0.045782;1.86e-19;30.31;*;-35.30;56344.0032;0.522;0.522;*;8.99e-02;3.90e+09;2.95e+09;7.66e+31;2.81e+32;
197;J0454+4529;J0454+4529;04:54:59.3;+45:29:46.7;1.389137;4.89e-15;20.83;*;*;*;0.765;0.765;*;*;4.50e+06;2.64e+12;7.20e+31;1.23e+32;
198;B0450+55;J0454+5543;04:54:07.7;+55:43:41.4;0.340729;2.37e-15;14.59;*;5.80;*;1.180;0.637;8.22e+01;1.81e+01;2.28e+06;9.10e+11;2.37e+33;1.70e+33;
199;B0456-69;J0455-6951;04:55:47.5;-69:51:34.3;0.320423;1.02e-14;94.70;*;-26.00;*;49.700;50.586;1.48e+03;2.05e+02;4.97e+05;1.83e+12;1.23e+34;4.96e+30;
200;J0456-69;J0456-69;04:56:30;-69:10;0.117073;*;103.00;*;*;*;49.700;50.514;*;*;*;*;*;*;
201;J0456-7031;J0456-7031;04:56:02.5;-70:31:06.6;0.800132;3.67e-14;100.30;*;*;*;49.700;51.132;*;3.21e+01;3.45e+05;5.48e+12;2.83e+33;1.15e+30;
202;J0457+23;J0457+23;04:57:06;+23:34:00;0.504900;*;59.00;*;*;*;1.517;1.517;*;*;*;*;*;*;
203;J0457-6337;J0457-6337;04:57:07.7;-63:37:30.4;2.497012;2.10e-16;27.50;*;14.00;*;1.333;1.333;*;5.33e-02;1.88e+08;7.33e+11;5.32e+29;3.00e+29;
204;J0457-69;J0457-69;04:57:02;-69:46;0.231390;*;91.00;*;*;*;49.700;50.356;*;*;*;*;*;*;
205;J0458-0505;J0458-0505;04:58:37.1;-05:05:05.1;1.883480;5.30e-16;47.81;*;*;*;1.938;1.938;*;*;5.63e+07;1.01e+12;3.13e+30;8.34e+29;
206;J0458-67;J0458-67;04:58:59;-67:43;1.133900;*;97.00;*;*;*;49.700;50.185;*;*;*;*;*;*;
207;J0459-0210;J0459-0210;04:59:51.9;-02:10:06.6;1.133076;1.40e-15;21.02;*;18.00;*;0.160;0.160;2.82e-01;1.54e-02;1.28e+07;1.27e+12;3.79e+31;1.48e+33;
208;J0501+4516;J0501+4516;05:01:06.7;+45:16:33.9;5.762097;5.82e-12;*;*;*;*;2.000;*;*;*;1.57e+04;1.85e+14;1.20e+33;3.00e+32;
209;B0458+46;J0502+4654;05:02:04.5;+46:54:06.0;0.638565;5.58e-15;41.83;*;-175.20;*;1.319;1.319;1.88e+01;4.35e+00;1.81e+06;1.91e+12;8.46e+32;4.86e+32;
210;B0502-66;J0502-6617;05:02:50.5;-66:17:58.8;0.691251;2.31e-14;68.90;*;*;*;49.700;49.066;2.47e+03;*;4.74e+05;4.04e+12;2.76e+33;1.12e+30;
211;J0506+50;J0506+50;05:06:14.1;+50:30:30;0.003390;*;43.40;*;*;*;1.383;1.383;*;*;*;*;*;*;
212;J0509+0856;J0509+0856;05:09:22.2;+08:56:25.0;0.004056;4.41e-21;38.33;0.001;44.14;*;0.817;0.817;3.34e+00;9.81e-01;1.46e+10;1.35e+08;2.61e+33;3.91e+33;
213;J0509+37;J0509+37;05:09;+37:32;2.496100;*;30.00;*;*;*;0.930;0.930;*;*;*;*;*;*;
214;J0509+3801;J0509+3801;05:09:31.7;+38:01:18.0;0.076541;7.93e-18;69.08;*;*;56075.4127;1.562;1.562;*;*;1.53e+08;2.49e+10;6.98e+32;2.86e+32;
215;J0511-6508;J0511-6508;05:11:56.5;-65:08:36.5;0.322062;2.06e-16;25.66;*;27.00;*;0.818;0.818;*;2.07e-01;2.48e+07;2.61e+11;2.43e+32;3.64e+32;
216;J0514-4002A;J0514-4002A;05:14:06.6;-40:02:48.8;0.004991;6.97e-22;52.14;*;-12.00;53623.1551;11.950;25.000;4.00e+01;*;1.13e+11;5.97e+07;2.21e+32;1.55e+30;
217;J0514-4002B;J0514-4002B;05:14:06.7;-40:02:47.9;0.002816;*;52.08;*;-13.00;*;11.950;25.000;*;*;*;*;*;*;
218;J0514-4002C;J0514-4002C;05:14:06.6;-40:02:49.4;0.005565;*;52.05;*;-8.00;*;11.950;25.000;*;*;*;*;*;*;
219;J0514-4002D;J0514-4002D;05:14:06.7;-40:02:48.2;0.004554;*;52.22;*;-12.00;*;11.950;25.000;*;*;*;*;*;*;
220;J0514-4002E;J0514-4002E;05:14:06.6;-40:02:47.7;0.005596;*;51.93;*;-6.00;*;11.950;25.000;*;*;*;*;*;*;
221;J0514-4002F;J0514-4002F;05:14:06.7;-40:02:48.5;0.004329;*;51.62;*;*;*;11.950;25.000;*;*;*;*;*;*;
222;J0514-4002G;J0514-4002G;05:14:06.6;-40:02:48.1;0.003803;*;50.96;*;-12.00;*;11.950;25.000;*;*;*;*;*;*;
223;J0514-4002H;J0514-4002H;05:14:06.6;-40:02:48;0.005506;*;52.23;*;-11.00;*;11.950;25.000;*;*;*;*;*;*;
224;J0514-4002I;J0514-4002I;05:14:06.7;-40:02:48.2;0.032654;*;52.58;*;*;*;11.950;25.000;*;*;*;*;*;*;
225;J0514-4002J;J0514-4002J;05:14:06.7;-40:02:48;0.006633;*;52.02;*;-14.00;*;11.950;25.000;*;*;*;*;*;*;
226;J0514-4002K;J0514-4002K;05:14:06.8;-40:02:48;0.004692;*;51.93;*;-13.00;*;11.950;25.000;*;*;*;*;*;*;
227;J0514-4002L;J0514-4002L;05:14:06.8;-40:02:48.0;0.002959;*;51.24;*;*;*;11.950;25.000;*;*;*;*;*;*;
228;J0514-4002M;J0514-4002M;05:14:06.8;-40:02:48;0.004798;*;51.68;*;-13.00;*;11.950;25.000;*;*;*;*;*;*;
229;J0514-4002N;J0514-4002N;05:14:06.7;-40:02:47;0.005568;*;51.07;*;*;*;11.950;25.000;*;*;*;*;*;*;
230;J0514-4408;J0514-4408;05:14:52.1;-44:08:37.3;0.320271;2.04e-15;15.12;*;17.40;*;0.966;0.966;*;*;2.48e+06;8.18e+11;2.45e+33;2.63e+33;
231;J0517+2212;J0517+2212;05:17:17.1;+22:12:51.9;0.222367;1.16e-17;18.70;*;-20.20;*;0.159;0.159;1.77e-01;1.16e-02;3.04e+08;5.14e+10;4.17e+31;1.65e+33;
232;J0518+5125;J0518+5125;05:18:26.1;+51:25:58.7;0.912512;1.91e-16;39.24;*;*;*;1.337;1.337;*;*;7.57e+07;4.22e+11;9.92e+30;5.55e+30;
233;J0518+5416;J0518+5416;05:18:53.1;+54:16:50.0;0.340203;1.68e-15;42.33;*;*;*;1.434;1.434;*;*;3.22e+06;7.64e+11;1.68e+33;8.17e+32;
234;J0519+44;J0519+44;05:19;+44;0.515000;*;52.00;*;*;*;1.421;1.421;*;*;*;*;*;*;
235;J0519-6932;J0519-6932;05:19:46.9;-69:32:23.4;0.263212;6.97e-16;118.86;*;85.00;*;49.700;49.732;*;3.21e+02;5.98e+06;4.33e+11;1.51e+33;6.11e+29;
236;J0520-2553;J0520-2553;05:20:36.1;-25:53:12.2;0.241642;3.01e-17;33.77;*;-12.00;*;2.379;2.379;4.53e+01;4.53e+00;1.27e+08;8.63e+10;8.42e+31;1.49e+31;
237;J0521-68;J0521-68;05:21:44;-68:35;0.433421;*;136.00;*;*;*;49.700;49.777;*;*;*;*;*;*;
238;J0522-6847;J0522-6847;05:22:23.0;-68:47:02.2;0.674532;1.77e-14;126.45;*;-123.00;*;49.700;49.581;*;2.05e+02;6.03e+05;3.50e+12;2.28e+33;9.23e+29;
239;J0523-7125;J0523-7125;05:23:48.6;-71:25:52.5;0.322500;*;157.50;*;456.00;*;49.700;100.000;*;2.47e+03;*;*;*;*;
240;B0523+11;J0525+1115;05:25:56.4;+11:15:19.0;0.354438;7.36e-17;79.42;*;20.10;*;1.841;1.841;6.61e+01;6.58e+00;7.63e+07;1.63e+11;6.53e+31;1.93e+31;
241;J0525-6607;J0525-6607;05:26:00.9;-66:04:36.3;8.047000;6.50e-11;*;*;*;*;*;*;*;*;1.96e+03;7.32e+14;4.92e+33;*;
242;B0525+21;J0528+2200;05:28:52.2;+22:00:04;3.745539;4.01e-14;50.87;*;-40.02;*;1.215;1.215;8.41e+01;1.31e+01;1.48e+06;1.24e+13;3.01e+31;2.04e+31;
243;J0529-0715;J0529-0715;05:29:08.9;-07:15:26.4;0.689224;5.75e-16;87.30;*;-46.00;*;7.002;7.002;*;6.13e+00;1.90e+07;6.37e+11;6.94e+31;1.42e+30;
244;B0529-66;J0529-6652;05:29:50.9;-66:52:39.9;0.975737;1.55e-14;103.31;*;9.00;*;49.700;49.592;*;5.26e+02;9.99e+05;3.93e+12;6.58e+32;2.66e+29;
245;J0530-39;J0530-39;05:30;-39;0.907000;*;48.50;*;*;*;25.000;25.000;*;*;*;*;*;*;
246;J0532-6639;J0532-6639;05:32:59.5;-66:39:37.3;0.642743;5.35e-15;69.20;*;54.00;*;49.700;47.847;*;1.04e+02;1.90e+06;1.88e+12;7.96e+32;3.22e+29;
247;J0532-69;J0532-69;05:32:04;-69:46;1.149196;*;124.00;*;*;*;49.700;49.602;*;*;*;*;*;*;
248;J0533+0402;J0533+0402;05:33:25.8;+04:01:59.7;0.963018;1.60e-16;83.70;*;-71.00;*;2.172;2.172;*;3.30e+00;9.53e+07;3.97e+11;7.07e+30;1.50e+30;
249;J0533-4524;J0533-4524;05:33:13.8;-45:24:50.2;0.157285;2.80e-16;18.93;*;*;*;1.239;1.239;*;*;8.89e+06;2.12e+11;2.84e+33;1.85e+33;
250;J0533+6759;J0533+6759;05:33:55.1;+67:59:17.4;0.004388;1.26e-20;57.37;*;*;*;2.392;2.392;*;*;5.51e+09;2.38e+08;5.89e+33;1.03e+33;
251;J0534-13;J0534-13;05:34;-13;0.979000;*;74.30;*;*;*;6.226;6.226;*;*;*;*;*;*;
252;B0531+21;J0534+2200;05:34:31.9;+22:00:52.0;0.033392;4.21e-13;56.77;*;-45.44;*;2.000;1.311;2.20e+03;5.60e+01;1.26e+03;3.79e+12;4.46e+38;1.12e+38;
253;J0534+34;J0534+34;05:34:30;+34:07;*;*;24.50;*;*;*;0.403;0.403;*;*;*;*;*;*;
254;J0534-6703;J0534-6703;05:34:36.1;-67:03:48.8;1.817565;4.25e-13;95.30;*;-35.00;*;49.700;48.846;*;2.87e+02;6.78e+04;2.81e+13;2.79e+33;1.13e+30;
255;J0535-66;J0535-66;05:35:40;-66:52;0.210524;*;75.00;*;*;*;49.700;48.067;*;*;*;*;*;*;
256;J0535-6935;J0535-6935;05:35;-69:35;0.200511;1.15e-14;93.70;*;*;*;49.700;48.857;*;1.24e+02;2.76e+05;1.54e+12;5.63e+34;2.28e+31;
257;B0538-75;J0536-7543;05:36:30.8;-75:43:54.8;1.245856;5.78e-16;18.58;*;26.10;*;0.143;0.143;1.53e+00;1.78e-01;3.42e+07;8.58e+11;1.18e+31;5.77e+32;
258;J0537-69;J0537-69;05:37:43;-69:21;0.112613;*;273.00;*;*;*;49.700;49.901;*;*;*;*;*;*;
259;J0537-6910;J0537-6910;05:37:47.4;-69:10:19.8;0.016122;5.18e-14;*;*;*;*;49.700;*;*;0.00e+00;4.93e+03;9.25e+11;4.88e+38;1.98e+35;
260;J0538+2817;J0538+2817;05:38:25.0;+28:17:09.1;0.143158;3.67e-15;39.57;0.008;39.00;*;1.300;0.946;1.39e+01;3.21e+00;6.18e+05;7.33e+11;4.94e+34;2.92e+34;
261;J0540+3207;J0540+3207;05:40:37.1;+32:07:37.3;0.524271;4.48e-16;61.97;*;13.70;*;1.421;1.421;*;6.87e-01;1.85e+07;4.90e+11;1.23e+32;6.08e+31;
262;B0540-69;J0540-6919;05:40:11.2;-69:19:54.1;0.050570;4.79e-13;147.20;*;-245.80;*;49.700;48.910;0.00e+00;2.47e+02;1.67e+03;4.98e+12;1.46e+38;5.92e+34;
263;J0540-7125;J0540-7125;05:40:30.8;-71:25:31.4;1.286015;8.20e-16;29.41;*;43.00;*;0.547;0.547;1.50e+00;8.98e-02;2.48e+07;1.04e+12;1.52e+31;5.09e+31;
264;J0542-68;J0542-68;05:42:35;-68:16;0.425189;*;114.00;*;*;*;49.700;48.893;*;*;*;*;*;*;
265;B0540+23;J0543+2329;05:43:09.6;+23:29:05;0.245975;1.54e-14;77.70;*;2.85;*;1.565;1.565;7.10e+01;2.62e+01;2.53e+05;1.97e+12;4.09e+34;1.67e+34;
266;J0543-6851;J0543-6851;05:43:52.7;-68:51:25.3;0.708954;3.94e-15;134.90;*;*;*;49.700;48.825;*;2.15e+02;2.85e+06;1.69e+12;4.37e+32;1.77e+29;
267;J0544+20;J0544+20;05:44:12;+20:50;*;*;56.90;*;*;*;1.283;1.283;*;*;*;*;*;*;
268;J0545-03;J0545-03;05:45;-03:10;1.073930;*;67.20;*;*;*;2.062;2.062;*;*;*;*;*;*;
269;J0546+2441;J0546+2441;05:46:28.7;+24:41:21;2.843850;7.65e-15;73.81;*;24.00;*;1.517;1.517;6.10e+00;*;5.89e+06;4.72e+12;1.31e+31;5.71e+30;
270;J0550+09;J0550+09;05:50:28;+09:51;1.745000;*;86.60;*;*;*;1.804;1.804;*;*;*;*;*;*;
271;J0554+3107;J0554+3107;05:54:05.0;+31:07:41;0.464961;1.43e-13;*;*;*;*;2.000;*;*;*;5.17e+04;8.24e+12;5.60e+34;1.40e+34;
272;J0555+3948;J0555+3948;05:55;+39:48;1.146906;*;36.10;*;9.00;*;1.065;1.065;*;*;*;*;*;*;
273;J0555-7056;J0555-7056;05:55:01.8;-70:56:45.6;0.827838;5.96e-15;72.90;*;26.00;*;49.700;48.741;*;1.43e+02;2.20e+06;2.25e+12;4.15e+32;1.68e+29;
274;J0556-67;J0556-67;05:56:25;-67:29;0.790549;*;71.00;*;*;*;47.489;47.489;*;2.71e+02;*;*;*;*;
275;J0557+1550;J0557+1550;05:57:31.4;+15:50:06.0;0.002556;7.35e-21;102.57;*;26.00;*;1.834;1.834;*;2.25e-01;5.51e+09;1.39e+08;1.74e+34;5.17e+33;
276;J0557-2948;J0557-2948;05:57:32.9;-29:48:16.8;0.043643;7.30e-20;49.03;*;1.10;*;4.269;4.269;*;8.38e-01;9.47e+09;1.81e+09;3.47e+31;1.90e+30;
277;B0559-57;J0600-5756;06:00:46.5;-57:56:54;2.261365;2.78e-15;30.00;*;*;*;0.553;0.553;6.42e-01;*;1.29e+07;2.54e+12;9.49e+30;3.10e+31;
278;B0559-05;J0601-0527;06:01:58.9;-05:27:50.8;0.395969;1.30e-15;80.54;*;64.00;*;2.083;2.328;9.85e+01;1.13e+01;4.82e+06;7.27e+11;8.28e+32;1.91e+32;
279;J0605+3757;J0605+3757;06:05:05.5;+37:57:35.9;0.002728;4.80e-21;20.95;*;*;55968.8100;0.215;0.215;*;*;9.00e+09;1.16e+08;9.33e+33;2.02e+35;
280;J0608+00;J0608+00;06:08:49;+00:39;1.076200;*;48.50;*;*;*;1.311;1.311;*;*;*;*;*;*;
281;J0608+1635;J0608+1635;06:08:51.6;+16:35:09.4;0.945845;1.35e-14;86.08;*;*;*;1.651;1.651;*;3.82e-01;1.11e+06;3.62e+12;6.30e+32;2.31e+32;
282;J0609+2130;J0609+2130;06:09:58.8;+21:30:02.8;0.055698;2.35e-19;38.73;*;*;*;0.574;0.574;2.64e-01;*;3.76e+09;3.66e+09;5.37e+31;1.63e+32;
283;J0610-2100;J0610-2100;06:10:13.5;-21:00:27.8;0.003861;1.23e-20;60.67;-0.003;33.74;*;3.259;3.259;*;6.90e+00;4.96e+09;2.21e+08;8.45e+33;7.96e+32;
284;J0611+04;J0611+04;06:11:18;+04:06;1.674430;*;69.90;*;*;*;1.662;1.662;*;*;*;*;*;*;
285;J0611+1436;J0611+1436;06:11:18.6;+14:36:52;0.270329;4.00e-15;43.99;*;*;*;0.807;0.807;*;7.16e-01;1.07e+06;1.05e+12;7.99e+33;1.23e+34;
286;J0611+30;J0611+30;06:11:16;+30:16;1.412090;*;45.26;*;14.46;*;1.080;1.080;1.63e+00;*;*;*;*;*;
287;B0609+37;J0612+3721;06:12:48.6;+37:21:37.3;0.297982;5.95e-17;27.15;*;34.51;*;0.535;0.535;4.58e+00;1.14e+00;7.94e+07;1.35e+11;8.87e+31;3.10e+32;
288;J0612+37216;J0612+37216;06:12:44.1;+37:21:40;0.443871;1.50e-16;39.27;*;*;*;1.083;1.083;*;*;4.70e+07;2.61e+11;6.76e+31;5.76e+31;
